"transaction_id","customer_id","age","gender","marital_status","income","store_id","store_name","group_store","type","latitude","longitude","product_id","product_name","price","date","qty","price-2","total_amount"
"TR25759",218,29,0,"Married   ",3.52,14,"Priangan            ","Priangan            ","Modern Trade        ",-5.45,10526667,"P5","Thai Tea            ",4200,"2022-01-03",4,4200,16800
"TR26782",237,35,1,"Married   ",8.14,7,"Buana Indah         ","Buana               ","General Trade       ",3316694,114590111,"P10","Cheese Stick        ",15000,"2022-01-03",4,15000,60000
"TR27698",178,43,0,"Married   ",9.58,8,"Sinar Harapan       ","Harapan Baru        ","General Trade       ",554829,95323753,"P6","Cashew              ",18000,"2022-01-03",3,18000,54000
"TR31585",144,34,0,"Married   ",10.01,6,"Lingga              ","Lingga              ","Modern Trade        ",-5135399.0,11942379,"P2","Ginger Candy        ",3200,"2022-01-03",3,3200,9600
"TR36491",117,45,1,"Married   ",12.55,12,"Prestasi Utama      ","Prestasi            ","General Trade       ",-2990934.0,104756554,"P3","Crackers            ",7500,"2022-01-03",4,7500,30000
"TR36846",159,53,1,"Married   ",13.65,7,"Buana Indah         ","Buana               ","General Trade       ",3316694,114590111,"P9","Yoghurt             ",10000,"2022-01-03",2,10000,20000
"TR40890",224,29,0,"Married   ",3.31,14,"Priangan            ","Priangan            ","Modern Trade        ",-5.45,10526667,"P6","Cashew              ",18000,"2022-01-03",3,18000,54000
"TR45933",406,38,1,"Married   ",8.64,8,"Sinar Harapan       ","Harapan Baru        ","General Trade       ",554829,95323753,"P4","Potato Chip         ",12000,"2022-01-03",2,12000,24000
"TR45980",7,31,0,"Married   ",4.57,7,"Buana Indah         ","Buana               ","General Trade       ",3316694,114590111,"P3","Crackers            ",7500,"2022-01-03",3,7500,22500
"TR46171",21,52,0,"Married   ",12.72,10,"Harapan Baru        ","Harapan Baru        ","General Trade       ",3597031,98678513,"P10","Cheese Stick        ",15000,"2022-01-03",3,15000,45000
"TR54686",106,24,0,"Single    ",6.79,10,"Harapan Baru        ","Harapan Baru        ","General Trade       ",3597031,98678513,"P2","Ginger Candy        ",3200,"2022-01-03",5,3200,16000
"TR74189",202,28,0,"Married   ",4.53,10,"Harapan Baru        ","Harapan Baru        ","General Trade       ",3597031,98678513,"P7","Coffee Candy        ",9400,"2022-01-03",3,9400,28200
"TR86483",45,53,0,"Married   ",9.25,12,"Prestasi Utama      ","Prestasi            ","General Trade       ",-2990934.0,104756554,"P8","Oat                 ",16000,"2022-01-03",3,16000,48000
"TR9341",202,28,0,"Married   ",4.53,14,"Priangan            ","Priangan            ","Modern Trade        ",-5.45,10526667,"P7","Coffee Candy        ",9400,"2022-01-03",5,9400,47000
"TR14593",311,61,1,"Married   ",7.64,9,"Lingga              ","Lingga              ","Modern Trade        ",-3654703.0,128190643,"P6","Cashew              ",18000,"2022-01-04",4,18000,72000
"TR14970",136,28,1,"Married   ",2.96,6,"Lingga              ","Lingga              ","Modern Trade        ",-5135399.0,11942379,"P10","Cheese Stick        ",15000,"2022-01-04",1,15000,15000
"TR2102",23,57,1,"Married   ",12.56,14,"Priangan            ","Priangan            ","Modern Trade        ",-5.45,10526667,"P5","Thai Tea            ",4200,"2022-01-04",4,4200,16800
"TR22313",194,31,1,"Married   ",4.33,2,"Prima Kelapa Dua    ","Prima               ","Modern Trade        ",-6914864.0,107608238,"P2","Ginger Candy        ",3200,"2022-01-04",4,3200,12800
"TR37381",243,38,0,"Married   ",3.34,7,"Buana Indah         ","Buana               ","General Trade       ",3316694,114590111,"P10","Cheese Stick        ",15000,"2022-01-04",2,15000,30000
"TR41140",78,41,1,"Married   ",10.34,14,"Priangan            ","Priangan            ","Modern Trade        ",-5.45,10526667,"P9","Yoghurt             ",10000,"2022-01-04",2,10000,20000
"TR45300",351,45,1,"Married   ",18.34,11,"Sinar Harapan       ","Prestasi            ","General Trade       ",0.533505,101447403,"P6","Cashew              ",18000,"2022-01-04",4,18000,72000
"TR48461",117,45,1,"Married   ",12.55,1,"Prima Tendean       ","Prima               ","Modern Trade        ",-6.2,106816666,"P5","Thai Tea            ",4200,"2022-01-04",2,4200,8400
"TR49210",189,59,1,"Single    ",5.15,7,"Buana Indah         ","Buana               ","General Trade       ",3316694,114590111,"P4","Potato Chip         ",12000,"2022-01-04",1,12000,12000
"TR50516",304,34,0,"Single    ",8.55,1,"Prima Tendean       ","Prima               ","Modern Trade        ",-6.2,106816666,"P10","Cheese Stick        ",15000,"2022-01-04",2,15000,30000
"TR51256",433,48,1,"Married   ",11.97,4,"Gita Ginara         ","Gita                ","General Trade       ",-6966667.0,110416664,"P9","Yoghurt             ",10000,"2022-01-04",1,10000,10000
"TR57427",157,44,0,"Single    ",2.52,5,"Bonafid             ","Gita                ","General Trade       ",-7250445.0,112768845,"P5","Thai Tea            ",4200,"2022-01-04",3,4200,12600
"TR64821",117,45,1,"Married   ",12.55,2,"Prima Kelapa Dua    ","Prima               ","Modern Trade        ",-6914864.0,107608238,"P3","Crackers            ",7500,"2022-01-04",1,7500,7500
"TR68280",36,32,1,"Married   ",10.4,12,"Prestasi Utama      ","Prestasi            ","General Trade       ",-2990934.0,104756554,"P8","Oat                 ",16000,"2022-01-04",1,16000,16000
"TR86686",403,30,0,"Married   ",4.06,1,"Prima Tendean       ","Prima               ","Modern Trade        ",-6.2,106816666,"P5","Thai Tea            ",4200,"2022-01-04",2,4200,8400
"TR88044",62,51,1,"Married   ",13.62,1,"Prima Tendean       ","Prima               ","Modern Trade        ",-6.2,106816666,"P5","Thai Tea            ",4200,"2022-01-04",5,4200,21000
"TR90452",440,40,0,"Married   ",3.47,11,"Sinar Harapan       ","Prestasi            ","General Trade       ",0.533505,101447403,"P2","Ginger Candy        ",3200,"2022-01-04",5,3200,16000
"TR98969",355,19,1,"Single    ",0,4,"Gita Ginara         ","Gita                ","General Trade       ",-6966667.0,110416664,"P8","Oat                 ",16000,"2022-01-04",1,16000,16000
"TR10602",22,34,0,"Single    ",9.91,11,"Sinar Harapan       ","Prestasi            ","General Trade       ",0.533505,101447403,"P5","Thai Tea            ",4200,"2022-01-05",3,4200,12600
"TR24114",182,44,1,"Married   ",14.57,4,"Gita Ginara         ","Gita                ","General Trade       ",-6966667.0,110416664,"P8","Oat                 ",16000,"2022-01-05",1,16000,16000
"TR35280",167,28,1,"Married   ",2.91,2,"Prima Kelapa Dua    ","Prima               ","Modern Trade        ",-6914864.0,107608238,"P9","Yoghurt             ",10000,"2022-01-05",1,10000,10000
"TR36079",297,41,1,"Married   ",12.13,11,"Sinar Harapan       ","Prestasi            ","General Trade       ",0.533505,101447403,"P5","Thai Tea            ",4200,"2022-01-05",4,4200,16800
"TR43714",416,27,1,"          ",3.43,13,"Buana               ","Buana               ","General Trade       ",-126916.0,116825264,"P7","Coffee Candy        ",9400,"2022-01-05",2,9400,18800
"TR46041",7,31,0,"Married   ",4.57,8,"Sinar Harapan       ","Harapan Baru        ","General Trade       ",554829,95323753,"P9","Yoghurt             ",10000,"2022-01-05",5,10000,50000
"TR60242",304,34,0,"Single    ",8.55,13,"Buana               ","Buana               ","General Trade       ",-126916.0,116825264,"P4","Potato Chip         ",12000,"2022-01-05",1,12000,12000
"TR61100",278,31,1,"Married   ",9.76,2,"Prima Kelapa Dua    ","Prima               ","Modern Trade        ",-6914864.0,107608238,"P8","Oat                 ",16000,"2022-01-05",2,16000,32000
"TR61437",123,34,0,"Married   ",4.36,6,"Lingga              ","Lingga              ","Modern Trade        ",-5135399.0,11942379,"P1","Choco Bar           ",8800,"2022-01-05",4,8800,35200
"TR84132",22,34,0,"Single    ",9.91,14,"Priangan            ","Priangan            ","Modern Trade        ",-5.45,10526667,"P9","Yoghurt             ",10000,"2022-01-05",7,10000,70000
"TR11638",67,19,0,"Single    ",0,12,"Prestasi Utama      ","Prestasi            ","General Trade       ",-2990934.0,104756554,"P2","Ginger Candy        ",3200,"2022-01-06",5,3200,16000
"TR20374",282,55,0,"Married   ",11.38,3,"Prima Kota          ","Prima               ","Modern Trade        ",-7797068.0,110370529,"P2","Ginger Candy        ",3200,"2022-01-06",5,3200,16000
"TR23183",84,54,0,"Married   ",18.12,9,"Lingga              ","Lingga              ","Modern Trade        ",-3654703.0,128190643,"P4","Potato Chip         ",12000,"2022-01-06",4,12000,48000
"TR24126",30,37,1,"Single    ",2.26,3,"Prima Kota          ","Prima               ","Modern Trade        ",-7797068.0,110370529,"P2","Ginger Candy        ",3200,"2022-01-06",3,3200,9600
"TR32850",306,49,0,"Married   ",16.52,6,"Lingga              ","Lingga              ","Modern Trade        ",-5135399.0,11942379,"P2","Ginger Candy        ",3200,"2022-01-06",3,3200,9600
"TR40523",176,54,1,"Married   ",18.32,2,"Prima Kelapa Dua    ","Prima               ","Modern Trade        ",-6914864.0,107608238,"P3","Crackers            ",7500,"2022-01-06",4,7500,30000
"TR41572",366,18,0,"Single    ",0,3,"Prima Kota          ","Prima               ","Modern Trade        ",-7797068.0,110370529,"P6","Cashew              ",18000,"2022-01-06",3,18000,54000
"TR45142",438,36,1,"Single    ",5.43,10,"Harapan Baru        ","Harapan Baru        ","General Trade       ",3597031,98678513,"P10","Cheese Stick        ",15000,"2022-01-06",4,15000,60000
"TR73860",71,46,0,"Married   ",12.42,1,"Prima Tendean       ","Prima               ","Modern Trade        ",-6.2,106816666,"P4","Potato Chip         ",12000,"2022-01-06",4,12000,48000
"TR74469",340,41,0,"Single    ",10.9,4,"Gita Ginara         ","Gita                ","General Trade       ",-6966667.0,110416664,"P5","Thai Tea            ",4200,"2022-01-06",4,4200,16800
"TR77963",116,51,1,"Married   ",15.77,7,"Buana Indah         ","Buana               ","General Trade       ",3316694,114590111,"P3","Crackers            ",7500,"2022-01-06",2,7500,15000
"TR81478",20,43,0,"Married   ",18.91,8,"Sinar Harapan       ","Harapan Baru        ","General Trade       ",554829,95323753,"P5","Thai Tea            ",4200,"2022-01-06",4,4200,16800
"TR83042",102,39,0,"Married   ",6.44,10,"Harapan Baru        ","Harapan Baru        ","General Trade       ",3597031,98678513,"P2","Ginger Candy        ",3200,"2022-01-06",6,3200,19200
"TR87914",161,41,0,"Married   ",20.02,9,"Lingga              ","Lingga              ","Modern Trade        ",-3654703.0,128190643,"P5","Thai Tea            ",4200,"2022-01-06",4,4200,16800
"TR92298",266,72,1,"Married   ",4.72,2,"Prima Kelapa Dua    ","Prima               ","Modern Trade        ",-6914864.0,107608238,"P2","Ginger Candy        ",3200,"2022-01-06",6,3200,19200
"TR95272",84,54,0,"Married   ",18.12,8,"Sinar Harapan       ","Harapan Baru        ","General Trade       ",554829,95323753,"P7","Coffee Candy        ",9400,"2022-01-06",3,9400,28200
"TR96723",240,22,1,"Single    ",3.33,14,"Priangan            ","Priangan            ","Modern Trade        ",-5.45,10526667,"P5","Thai Tea            ",4200,"2022-01-06",4,4200,16800
"TR97562",264,21,1,"Single    ",1.12,14,"Priangan            ","Priangan            ","Modern Trade        ",-5.45,10526667,"P5","Thai Tea            ",4200,"2022-01-06",3,4200,12600
"TR22660",43,53,0,"Married   ",16.64,13,"Buana               ","Buana               ","General Trade       ",-126916.0,116825264,"P5","Thai Tea            ",4200,"2022-01-07",3,4200,12600
"TR23169",189,59,1,"Single    ",5.15,7,"Buana Indah         ","Buana               ","General Trade       ",3316694,114590111,"P1","Choco Bar           ",8800,"2022-01-07",7,8800,61600
"TR28506",230,40,1,"Married   ",4.32,12,"Prestasi Utama      ","Prestasi            ","General Trade       ",-2990934.0,104756554,"P9","Yoghurt             ",10000,"2022-01-07",3,10000,30000
"TR31932",70,30,1,"Married   ",4.42,7,"Buana Indah         ","Buana               ","General Trade       ",3316694,114590111,"P9","Yoghurt             ",10000,"2022-01-07",4,10000,40000
"TR38873",311,61,1,"Married   ",7.64,5,"Bonafid             ","Gita                ","General Trade       ",-7250445.0,112768845,"P2","Ginger Candy        ",3200,"2022-01-07",6,3200,19200
"TR43744",233,43,1,"Married   ",5.69,8,"Sinar Harapan       ","Harapan Baru        ","General Trade       ",554829,95323753,"P2","Ginger Candy        ",3200,"2022-01-07",6,3200,19200
"TR60853",74,3,1,"Married   ",5.09,6,"Lingga              ","Lingga              ","Modern Trade        ",-5135399.0,11942379,"P2","Ginger Candy        ",3200,"2022-01-07",3,3200,9600
"TR73336",399,52,1,"Single    ",33.77,10,"Harapan Baru        ","Harapan Baru        ","General Trade       ",3597031,98678513,"P8","Oat                 ",16000,"2022-01-07",3,16000,48000
"TR74427",43,53,0,"Married   ",16.64,3,"Prima Kota          ","Prima               ","Modern Trade        ",-7797068.0,110370529,"P8","Oat                 ",16000,"2022-01-07",2,16000,32000
"TR23772",156,44,0,"Married   ",3.87,1,"Prima Tendean       ","Prima               ","Modern Trade        ",-6.2,106816666,"P10","Cheese Stick        ",15000,"2022-01-08",1,15000,15000
"TR36287",157,44,0,"Single    ",2.52,2,"Prima Kelapa Dua    ","Prima               ","Modern Trade        ",-6914864.0,107608238,"P7","Coffee Candy        ",9400,"2022-01-08",2,9400,18800
"TR40790",134,50,0,"Married   ",18.62,8,"Sinar Harapan       ","Harapan Baru        ","General Trade       ",554829,95323753,"P7","Coffee Candy        ",9400,"2022-01-08",4,9400,37600
"TR4331",335,29,1,"Single    ",4.74,12,"Prestasi Utama      ","Prestasi            ","General Trade       ",-2990934.0,104756554,"P3","Crackers            ",7500,"2022-01-08",3,7500,22500
"TR43444",240,22,1,"Single    ",3.33,2,"Prima Kelapa Dua    ","Prima               ","Modern Trade        ",-6914864.0,107608238,"P4","Potato Chip         ",12000,"2022-01-08",5,12000,60000
"TR55617",9,33,0,"Married   ",9.92,9,"Lingga              ","Lingga              ","Modern Trade        ",-3654703.0,128190643,"P7","Coffee Candy        ",9400,"2022-01-08",5,9400,47000
"TR57273",344,47,1,"Married   ",5.63,10,"Harapan Baru        ","Harapan Baru        ","General Trade       ",3597031,98678513,"P4","Potato Chip         ",12000,"2022-01-08",1,12000,12000
"TR648",164,18,1,"Single    ",0,5,"Bonafid             ","Gita                ","General Trade       ",-7250445.0,112768845,"P5","Thai Tea            ",4200,"2022-01-08",3,4200,12600
"TR65337",12,2,1,"Married   ",4.94,3,"Prima Kota          ","Prima               ","Modern Trade        ",-7797068.0,110370529,"P5","Thai Tea            ",4200,"2022-01-08",3,4200,12600
"TR6602",211,29,0,"Married   ",3.54,5,"Bonafid             ","Gita                ","General Trade       ",-7250445.0,112768845,"P8","Oat                 ",16000,"2022-01-08",2,16000,32000
"TR67501",85,59,1,"Married   ",7.89,13,"Buana               ","Buana               ","General Trade       ",-126916.0,116825264,"P4","Potato Chip         ",12000,"2022-01-08",3,12000,36000
"TR70157",415,44,0,"Married   ",18.57,4,"Gita Ginara         ","Gita                ","General Trade       ",-6966667.0,110416664,"P8","Oat                 ",16000,"2022-01-08",2,16000,32000
"TR84962",55,34,1,"Married   ",8.44,7,"Buana Indah         ","Buana               ","General Trade       ",3316694,114590111,"P3","Crackers            ",7500,"2022-01-08",5,7500,37500
"TR89167",69,26,0,"Single    ",2.84,10,"Harapan Baru        ","Harapan Baru        ","General Trade       ",3597031,98678513,"P1","Choco Bar           ",8800,"2022-01-08",5,8800,44000
"TR90471",162,49,0,"Married   ",11.46,3,"Prima Kota          ","Prima               ","Modern Trade        ",-7797068.0,110370529,"P3","Crackers            ",7500,"2022-01-08",3,7500,22500
"TR14091",307,31,0,"Married   ",5.22,11,"Sinar Harapan       ","Prestasi            ","General Trade       ",0.533505,101447403,"P1","Choco Bar           ",8800,"2022-01-09",5,8800,44000
"TR28270",140,54,0,"Married   ",9.57,3,"Prima Kota          ","Prima               ","Modern Trade        ",-7797068.0,110370529,"P2","Ginger Candy        ",3200,"2022-01-09",7,3200,22400
"TR48974",170,36,0,"Married   ",7.55,9,"Lingga              ","Lingga              ","Modern Trade        ",-3654703.0,128190643,"P10","Cheese Stick        ",15000,"2022-01-09",1,15000,15000
"TR52493",354,53,1,"Married   ",16.94,11,"Sinar Harapan       ","Prestasi            ","General Trade       ",0.533505,101447403,"P8","Oat                 ",16000,"2022-01-09",1,16000,16000
"TR52613",135,41,0,"Married   ",3.28,9,"Lingga              ","Lingga              ","Modern Trade        ",-3654703.0,128190643,"P5","Thai Tea            ",4200,"2022-01-09",3,4200,12600
"TR53447",137,34,1,"Married   ",6.36,5,"Bonafid             ","Gita                ","General Trade       ",-7250445.0,112768845,"P2","Ginger Candy        ",3200,"2022-01-09",4,3200,12800
"TR5513",62,51,1,"Married   ",13.62,2,"Prima Kelapa Dua    ","Prima               ","Modern Trade        ",-6914864.0,107608238,"P4","Potato Chip         ",12000,"2022-01-09",4,12000,48000
"TR76965",241,24,1,"Single    ",0.57,3,"Prima Kota          ","Prima               ","Modern Trade        ",-7797068.0,110370529,"P1","Choco Bar           ",8800,"2022-01-09",8,8800,70400
"TR80326",269,39,1,"Married   ",6.3,2,"Prima Kelapa Dua    ","Prima               ","Modern Trade        ",-6914864.0,107608238,"P8","Oat                 ",16000,"2022-01-09",1,16000,16000
"TR858",340,41,0,"Single    ",10.9,14,"Priangan            ","Priangan            ","Modern Trade        ",-5.45,10526667,"P8","Oat                 ",16000,"2022-01-09",2,16000,32000
"TR8878",415,44,0,"Married   ",18.57,9,"Lingga              ","Lingga              ","Modern Trade        ",-3654703.0,128190643,"P5","Thai Tea            ",4200,"2022-01-09",3,4200,12600
"TR89449",178,43,0,"Married   ",9.58,11,"Sinar Harapan       ","Prestasi            ","General Trade       ",0.533505,101447403,"P5","Thai Tea            ",4200,"2022-01-09",2,4200,8400
"TR91332",385,41,1,"Married   ",15.84,10,"Harapan Baru        ","Harapan Baru        ","General Trade       ",3597031,98678513,"P9","Yoghurt             ",10000,"2022-01-09",1,10000,10000
"TR91669",241,24,1,"Single    ",0.57,2,"Prima Kelapa Dua    ","Prima               ","Modern Trade        ",-6914864.0,107608238,"P5","Thai Tea            ",4200,"2022-01-09",5,4200,21000
"TR3291",13,23,0,"Single    ",2.03,14,"Priangan            ","Priangan            ","Modern Trade        ",-5.45,10526667,"P4","Potato Chip         ",12000,"2022-01-10",5,12000,60000
"TR45059",17,35,0,"Married   ",3.14,9,"Lingga              ","Lingga              ","Modern Trade        ",-3654703.0,128190643,"P1","Choco Bar           ",8800,"2022-01-10",6,8800,52800
"TR47932",122,26,1,"Single    ",0.14,7,"Buana Indah         ","Buana               ","General Trade       ",3316694,114590111,"P7","Coffee Candy        ",9400,"2022-01-10",3,9400,28200
"TR57616",446,57,0,"Married   ",7.81,2,"Prima Kelapa Dua    ","Prima               ","Modern Trade        ",-6914864.0,107608238,"P1","Choco Bar           ",8800,"2022-01-10",7,8800,61600
"TR59952",321,45,0,"Married   ",8.03,14,"Priangan            ","Priangan            ","Modern Trade        ",-5.45,10526667,"P4","Potato Chip         ",12000,"2022-01-10",5,12000,60000
"TR6445",181,33,1,"Married   ",9.94,12,"Prestasi Utama      ","Prestasi            ","General Trade       ",-2990934.0,104756554,"P3","Crackers            ",7500,"2022-01-10",4,7500,30000
"TR69307",23,57,1,"Married   ",12.56,1,"Prima Tendean       ","Prima               ","Modern Trade        ",-6.2,106816666,"P8","Oat                 ",16000,"2022-01-10",1,16000,16000
"TR69902",108,25,0,"Single    ",6.87,9,"Lingga              ","Lingga              ","Modern Trade        ",-3654703.0,128190643,"P7","Coffee Candy        ",9400,"2022-01-10",2,9400,18800
"TR7250",49,44,1,"Married   ",13.48,11,"Sinar Harapan       ","Prestasi            ","General Trade       ",0.533505,101447403,"P1","Choco Bar           ",8800,"2022-01-10",7,8800,61600
"TR77811",329,19,1,"Single    ",0,4,"Gita Ginara         ","Gita                ","General Trade       ",-6966667.0,110416664,"P10","Cheese Stick        ",15000,"2022-01-10",2,15000,30000
"TR80374",223,62,1,"Single    ",5.35,10,"Harapan Baru        ","Harapan Baru        ","General Trade       ",3597031,98678513,"P8","Oat                 ",16000,"2022-01-10",3,16000,48000
"TR82224",246,40,1,"Single    ",21.81,12,"Prestasi Utama      ","Prestasi            ","General Trade       ",-2990934.0,104756554,"P2","Ginger Candy        ",3200,"2022-01-10",3,3200,9600
"TR8236",249,47,0,"Married   ",13.34,7,"Buana Indah         ","Buana               ","General Trade       ",3316694,114590111,"P2","Ginger Candy        ",3200,"2022-01-10",6,3200,19200
"TR8369",64,48,1,"Married   ",7.92,4,"Gita Ginara         ","Gita                ","General Trade       ",-6966667.0,110416664,"P3","Crackers            ",7500,"2022-01-10",1,7500,7500
"TR86436",26,45,1,"Married   ",7.83,14,"Priangan            ","Priangan            ","Modern Trade        ",-5.45,10526667,"P10","Cheese Stick        ",15000,"2022-01-10",1,15000,15000
"TR88217",442,42,1,"Married   ",14.88,8,"Sinar Harapan       ","Harapan Baru        ","General Trade       ",554829,95323753,"P9","Yoghurt             ",10000,"2022-01-10",1,10000,10000
"TR95284",229,32,0,"Married   ",10.17,2,"Prima Kelapa Dua    ","Prima               ","Modern Trade        ",-6914864.0,107608238,"P2","Ginger Candy        ",3200,"2022-01-10",3,3200,9600
"TR18566",8,37,1,"Married   ",5.49,8,"Sinar Harapan       ","Harapan Baru        ","General Trade       ",554829,95323753,"P3","Crackers            ",7500,"2022-01-11",3,7500,22500
"TR23232",168,27,0,"Married   ",4.88,1,"Prima Tendean       ","Prima               ","Modern Trade        ",-6.2,106816666,"P2","Ginger Candy        ",3200,"2022-01-11",6,3200,19200
"TR36166",256,56,0,"Married   ",7.09,12,"Prestasi Utama      ","Prestasi            ","General Trade       ",-2990934.0,104756554,"P10","Cheese Stick        ",15000,"2022-01-11",5,15000,75000
"TR36685",196,34,0,"Married   ",3.17,2,"Prima Kelapa Dua    ","Prima               ","Modern Trade        ",-6914864.0,107608238,"P2","Ginger Candy        ",3200,"2022-01-11",6,3200,19200
